",""IdLandkreis"",""Altersgruppe"",""Geschlecht"",""Meldedatum"",""Refdatum"",""IstErkrankungsbeginn"",""NeuerFall"",""NeuerTodesfall"",""NeuGenesen"",""AnzahlFall"",""AnzahlTodesfall"",""AnzahlGenesen"""
"4647,9162,""A80+"",""M"",2022-01-07,2022-01-06,1,0,0,-9,1,1,0"
"4648,9162,""A60-A79"",""M"",2022-01-08,2022-01-06,1,0,0,-9,1,1,0"
"4649,9162,""A35-A59"",""M"",2022-01-07,2022-01-07,0,0,-9,0,98,0,98"
"4650,9162,""A80+"",""M"",2022-01-07,2022-01-07,0,0,-9,0,1,0,1"
"4651,9162,""A60-A79"",""M"",2022-01-07,2022-01-07,0,0,-9,0,10,0,10"
"4652,9162,""A05-A14"",""M"",2022-01-07,2022-01-07,0,0,-9,0,33,0,33"
"4653,9162,""A00-A04"",""M"",2022-01-07,2022-01-07,0,0,-9,0,11,0,11"
"4654,9162,""A15-A34"",""M"",2022-01-07,2022-01-07,0,0,-9,0,223,0,223"
"4655,9162,""A00-A04"",""M"",2022-01-12,2022-01-07,1,0,-9,0,2,0,2"
"4656,9162,""A35-A59"",""M"",2022-01-25,2022-01-07,1,0,-9,0,1,0,1"
"4657,9162,""A15-A34"",""M"",2022-01-09,2022-01-07,1,0,-9,0,12,0,12"
"4658,9162,""A15-A34"",""M"",2022-01-08,2022-01-07,1,0,-9,0,5,0,5"
"4659,9162,""A60-A79"",""M"",2022-01-14,2022-01-07,1,0,-9,0,2,0,2"
"4660,9162,""A60-A79"",""M"",2022-01-10,2022-01-07,1,0,-9,0,2,0,2"
"4661,9162,""A35-A59"",""M"",2022-01-11,2022-01-07,1,0,-9,0,40,0,40"
"4662,9162,""A60-A79"",""M"",2022-01-13,2022-01-07,1,0,-9,0,1,0,1"
"4663,9162,""A05-A14"",""M"",2022-01-13,2022-01-07,1,0,-9,0,4,0,4"
"4664,9162,""A05-A14"",""M"",2022-01-10,2022-01-07,1,0,-9,0,6,0,6"
"4665,9162,""A15-A34"",""M"",2022-01-19,2022-01-07,1,0,-9,0,1,0,1"
"4666,9162,""A35-A59"",""M"",2022-01-09,2022-01-07,1,0,-9,0,8,0,8"
"4667,9162,""A05-A14"",""M"",2022-01-11,2022-01-07,1,0,-9,0,5,0,5"
"4668,9162,""A35-A59"",""M"",2022-01-07,2022-01-07,1,0,-9,0,2,0,2"
"4669,9162,""A35-A59"",""M"",2022-01-15,2022-01-07,1,0,-9,0,1,0,1"
"4670,9162,""A15-A34"",""M"",2022-01-10,2022-01-07,1,0,-9,0,38,0,38"
"4671,9162,""A35-A59"",""M"",2022-01-17,2022-01-07,1,0,-9,0,1,0,1"
"4672,9162,""A00-A04"",""M"",2022-01-17,2022-01-07,1,0,-9,0,1,0,1"
"4673,9162,""A35-A59"",""M"",2022-01-12,2022-01-07,1,0,-9,0,22,0,22"
"4674,9162,""A15-A34"",""M"",2022-01-16,2022-01-07,1,0,-9,0,1,0,1"
"4675,9162,""A35-A59"",""M"",2022-01-14,2022-01-07,1,0,-9,0,8,0,8"
"4676,9162,""A00-A04"",""M"",2022-01-13,2022-01-07,1,0,-9,0,1,0,1"
"4677,9162,""A35-A59"",""M"",2022-01-08,2022-01-07,1,0,-9,0,5,0,5"
"4678,9162,""A15-A34"",""M"",2022-01-12,2022-01-07,1,0,-9,0,27,0,27"
"4679,9162,""A15-A34"",""M"",2022-01-14,2022-01-07,1,0,-9,0,7,0,7"
"4680,9162,""A60-A79"",""M"",2022-01-11,2022-01-07,1,0,-9,0,3,0,3"
"4681,9162,""A05-A14"",""M"",2022-01-16,2022-01-07,1,0,-9,0,1,0,1"
"4682,9162,""A35-A59"",""M"",2022-01-16,2022-01-07,1,0,-9,0,1,0,1"
"4683,9162,""A15-A34"",""M"",2022-01-15,2022-01-07,1,0,-9,0,3,0,3"
"4684,9162,""A60-A79"",""M"",2022-01-09,2022-01-07,1,0,-9,0,1,0,1"
"4685,9162,""A15-A34"",""M"",2022-01-13,2022-01-07,1,0,-9,0,7,0,7"
"4686,9162,""A60-A79"",""M"",2022-02-10,2022-01-07,1,0,-9,0,1,0,1"
"4687,9162,""A35-A59"",""M"",2022-01-18,2022-01-07,1,0,-9,0,2,0,2"
"4688,9162,""A00-A04"",""M"",2022-01-09,2022-01-07,1,0,-9,0,1,0,1"
"4689,9162,""A00-A04"",""M"",2022-01-11,2022-01-07,1,0,-9,0,1,0,1"
"4690,9162,""A35-A59"",""M"",2022-01-10,2022-01-07,1,0,-9,0,20,0,20"
"4691,9162,""A15-A34"",""M"",2022-01-11,2022-01-07,1,0,-9,0,33,0,33"
"4692,9162,""A05-A14"",""M"",2022-01-12,2022-01-07,1,0,-9,0,7,0,7"
"4693,9162,""A05-A14"",""M"",2022-01-15,2022-01-07,1,0,-9,0,1,0,1"
"4694,9162,""A05-A14"",""M"",2022-01-08,2022-01-07,1,0,-9,0,1,0,1"
"4695,9162,""A60-A79"",""M"",2022-01-12,2022-01-07,1,0,-9,0,2,0,2"
"4696,9162,""A35-A59"",""M"",2022-01-13,2022-01-07,1,0,-9,0,11,0,11"
"4697,9162,""A00-A04"",""M"",2022-01-10,2022-01-07,1,0,-9,0,1,0,1"
"4698,9162,""A35-A59"",""M"",2022-02-09,2022-01-07,1,0,-9,0,1,0,1"
"4699,9162,""A15-A34"",""M"",2022-01-17,2022-01-07,1,0,-9,0,2,0,2"
"4700,9162,""A15-A34"",""M"",2022-01-07,2022-01-07,1,0,-9,0,1,0,1"
"4701,9162,""A80+"",""M"",2022-01-10,2022-01-07,1,0,-9,0,1,0,1"
"4702,9162,""A60-A79"",""M"",2022-01-11,2022-01-07,1,0,0,-9,1,1,0"
"4703,9162,""A15-A34"",""M"",2022-01-08,2022-01-08,0,0,-9,0,176,0,176"
"4704,9162,""A05-A14"",""M"",2022-01-08,2022-01-08,0,0,-9,0,34,0,34"
"4705,9162,""A35-A59"",""M"",2022-01-08,2022-01-08,0,0,-9,0,97,0,97"
"4706,9162,""A80+"",""M"",2022-01-08,2022-01-08,0,0,-9,0,3,0,3"
"4707,9162,""A00-A04"",""M"",2022-01-08,2022-01-08,0,0,-9,0,5,0,5"
"4708,9162,""A60-A79"",""M"",2022-01-08,2022-01-08,0,0,-9,0,15,0,15"
"4709,9162,""A35-A59"",""M"",2022-01-08,2022-01-08,1,0,-9,0,1,0,1"
"4710,9162,""A35-A59"",""M"",2022-01-13,2022-01-08,1,0,-9,0,16,0,16"
"4711,9162,""A05-A14"",""M"",2022-01-09,2022-01-08,1,0,-9,0,3,0,3"
"4712,9162,""A35-A59"",""M"",2022-01-12,2022-01-08,1,0,-9,0,46,0,46"
"4713,9162,""A35-A59"",""M"",2022-01-19,2022-01-08,1,0,-9,0,2,0,2"
"4714,9162,""A60-A79"",""M"",2022-01-10,2022-01-08,1,0,-9,0,3,0,3"
"4715,9162,""A35-A59"",""M"",2022-01-15,2022-01-08,1,0,-9,0,4,0,4"
"4716,9162,""A15-A34"",""M"",2022-02-02,2022-01-08,1,0,-9,0,1,0,1"
"4717,9162,""A15-A34"",""M"",2022-01-17,2022-01-08,1,0,-9,0,4,0,4"
"4718,9162,""A35-A59"",""M"",2022-01-07,2022-01-08,1,0,-9,0,1,0,1"
"4719,9162,""A15-A34"",""M"",2022-01-11,2022-01-08,1,0,-9,0,51,0,51"
"4720,9162,""A05-A14"",""M"",2022-01-20,2022-01-08,1,0,-9,0,1,0,1"
"4721,9162,""A15-A34"",""M"",2022-01-04,2022-01-08,1,0,-9,0,1,0,1"
"4722,9162,""A60-A79"",""M"",2022-01-13,2022-01-08,1,0,-9,0,2,0,2"
"4723,9162,""A15-A34"",""M"",2022-01-20,2022-01-08,1,0,-9,0,1,0,1"
"4724,9162,""A15-A34"",""M"",2022-01-09,2022-01-08,1,0,-9,0,5,0,5"
"4725,9162,""A05-A14"",""M"",2022-01-10,2022-01-08,1,0,-9,0,1,0,1"
"4726,9162,""A15-A34"",""M"",2022-01-12,2022-01-08,1,0,-9,0,36,0,36"
"4727,9162,""A00-A04"",""M"",2022-01-17,2022-01-08,1,0,-9,0,2,0,2"
"4728,9162,""A35-A59"",""M"",2022-01-09,2022-01-08,1,0,-9,0,7,0,7"
"4729,9162,""A15-A34"",""M"",2022-01-10,2022-01-08,1,0,-9,0,12,0,12"
"4730,9162,""A35-A59"",""M"",2022-01-17,2022-01-08,1,0,-9,0,3,0,3"
"4731,9162,""A60-A79"",""M"",2022-01-08,2022-01-08,1,0,-9,0,1,0,1"
"4732,9162,""A15-A34"",""M"",2022-01-16,2022-01-08,1,0,-9,0,3,0,3"
"4733,9162,""A15-A34"",""M"",2022-01-14,2022-01-08,1,0,-9,0,13,0,13"
"4734,9162,""A35-A59"",""M"",2022-01-18,2022-01-08,1,0,-9,0,2,0,2"
"4735,9162,""A00-A04"",""M"",2022-01-11,2022-01-08,1,0,-9,0,2,0,2"
"4736,9162,""A15-A34"",""M"",2022-01-03,2022-01-08,1,0,-9,0,1,0,1"
"4737,9162,""A00-A04"",""M"",2022-01-15,2022-01-08,1,0,-9,0,1,0,1"
"4738,9162,""A60-A79"",""M"",2022-01-14,2022-01-08,1,0,-9,0,1,0,1"
"4739,9162,""A35-A59"",""M"",2022-01-11,2022-01-08,1,0,-9,0,40,0,40"
"4740,9162,""A60-A79"",""M"",2022-02-24,2022-01-08,1,0,-9,0,1,0,1"
"4741,9162,""A60-A79"",""M"",2022-01-12,2022-01-08,1,0,-9,0,4,0,4"
"4742,9162,""A00-A04"",""M"",2022-01-12,2022-01-08,1,0,-9,0,2,0,2"
"4743,9162,""A60-A79"",""M"",2022-01-11,2022-01-08,1,0,-9,0,2,0,2"
"4744,9162,""A05-A14"",""M"",2022-01-11,2022-01-08,1,0,-9,0,6,0,6"
"4745,9162,""A05-A14"",""M"",2022-01-12,2022-01-08,1,0,-9,0,7,0,7"
"4746,9162,""A15-A34"",""M"",2022-01-15,2022-01-08,1,0,-9,0,3,0,3"
"4747,9162,""A05-A14"",""M"",2022-01-16,2022-01-08,1,0,-9,0,1,0,1"
"4748,9162,""A00-A04"",""M"",2022-01-13,2022-01-08,1,0,-9,0,2,0,2"
"4749,9162,""A05-A14"",""M"",2022-01-13,2022-01-08,1,0,-9,0,9,0,9"
"4750,9162,""A35-A59"",""M"",2022-01-10,2022-01-08,1,0,-9,0,12,0,12"
"4751,9162,""A35-A59"",""M"",2022-01-16,2022-01-08,1,0,-9,0,2,0,2"
"4752,9162,""A00-A04"",""M"",2022-01-14,2022-01-08,1,0,-9,0,1,0,1"
"4753,9162,""A60-A79"",""M"",2022-01-09,2022-01-08,1,0,-9,0,1,0,1"
"4754,9162,""A15-A34"",""M"",2022-02-09,2022-01-08,1,0,-9,0,1,0,1"
"4755,9162,""A05-A14"",""M"",2022-01-08,2022-01-08,1,0,-9,0,1,0,1"
"4756,9162,""A15-A34"",""M"",2022-01-18,2022-01-08,1,0,-9,0,1,0,1"
"4757,9162,""A80+"",""M"",2022-01-12,2022-01-08,1,0,-9,0,1,0,1"
"4758,9162,""A35-A59"",""M"",2022-01-14,2022-01-08,1,0,-9,0,16,0,16"
"4759,9162,""A60-A79"",""M"",2022-01-17,2022-01-08,1,0,-9,0,2,0,2"
"4760,9162,""A15-A34"",""M"",2022-01-13,2022-01-08,1,0,-9,0,34,0,34"
"4761,9162,""A00-A04"",""M"",2022-01-09,2022-01-09,0,0,-9,0,3,0,3"
"4762,9162,""A60-A79"",""M"",2022-01-09,2022-01-09,0,0,-9,0,14,0,14"
"4763,9162,""A35-A59"",""M"",2022-01-09,2022-01-09,0,0,-9,0,96,0,96"
"4764,9162,""A15-A34"",""M"",2022-01-09,2022-01-09,0,0,-9,0,164,0,164"
"4765,9162,""A80+"",""M"",2022-01-09,2022-01-09,0,0,-9,0,4,0,4"
"4766,9162,""A05-A14"",""M"",2022-01-09,2022-01-09,0,0,-9,0,26,0,26"
"4767,9162,""A80+"",""M"",2022-01-11,2022-01-09,1,0,-9,0,1,0,1"
"4768,9162,""A05-A14"",""M"",2022-01-09,2022-01-09,1,0,-9,0,1,0,1"
"4769,9162,""A35-A59"",""M"",2022-01-10,2022-01-09,1,0,-9,0,3,0,3"
"4770,9162,""A15-A34"",""M"",2022-01-16,2022-01-09,1,0,-9,0,5,0,5"
"4771,9162,""A60-A79"",""M"",2022-01-16,2022-01-09,1,0,-9,0,1,0,1"
"4772,9162,""A15-A34"",""M"",2022-01-14,2022-01-09,1,0,-9,0,25,0,25"
"4773,9162,""A80+"",""M"",2022-01-17,2022-01-09,1,0,-9,0,1,0,1"
"4774,9162,""A05-A14"",""M"",2022-01-14,2022-01-09,1,0,-9,0,4,0,4"
"4775,9162,""A35-A59"",""M"",2022-01-04,2022-01-09,1,0,-9,0,1,0,1"
"4776,9162,""A35-A59"",""M"",2022-01-11,2022-01-09,1,0,-9,0,29,0,29"
"4777,9162,""A35-A59"",""M"",2022-01-14,2022-01-09,1,0,-9,0,13,0,13"
"4778,9162,""A15-A34"",""M"",2022-02-15,2022-01-09,1,0,-9,0,1,0,1"
"4779,9162,""A05-A14"",""M"",2022-01-11,2022-01-09,1,0,-9,0,6,0,6"
"4780,9162,""A60-A79"",""M"",2022-01-11,2022-01-09,1,0,-9,0,1,0,1"
"4781,9162,""A15-A34"",""M"",2022-01-17,2022-01-09,1,0,-9,0,4,0,4"
"4782,9162,""A15-A34"",""M"",2022-01-11,2022-01-09,1,0,-9,0,36,0,36"
"4783,9162,""A15-A34"",""M"",2022-01-13,2022-01-09,1,0,-9,0,52,0,52"
"4784,9162,""A35-A59"",""M"",2022-01-13,2022-01-09,1,0,-9,0,35,0,35"
"4785,9162,""A35-A59"",""M"",2022-01-17,2022-01-09,1,0,-9,0,3,0,3"
"4786,9162,""A80+"",""M"",2022-01-15,2022-01-09,1,0,-9,0,1,0,1"
"4787,9162,""A05-A14"",""M"",2022-01-18,2022-01-09,1,0,-9,0,1,0,1"
"4788,9162,""A15-A34"",""M"",2022-01-21,2022-01-09,1,0,-9,0,1,0,1"
"4789,9162,""A15-A34"",""M"",2022-01-12,2022-01-09,1,0,-9,0,50,0,50"
"4790,9162,""A35-A59"",""M"",2022-01-20,2022-01-09,1,0,-9,0,3,0,3"
"4791,9162,""A05-A14"",""M"",2022-01-15,2022-01-09,1,0,-9,0,1,0,1"
"4792,9162,""A60-A79"",""M"",2022-01-19,2022-01-09,1,0,-9,0,1,0,1"
"4793,9162,""A15-A34"",""M"",2022-01-18,2022-01-09,1,0,-9,0,4,0,4"
"4794,9162,""A60-A79"",""M"",2022-01-15,2022-01-09,1,0,-9,0,2,0,2"
"4795,9162,""A60-A79"",""M"",2022-01-13,2022-01-09,1,0,-9,0,4,0,4"
"4796,9162,""A15-A34"",""M"",2022-01-15,2022-01-09,1,0,-9,0,9,0,9"
"4797,9162,""A05-A14"",""M"",2022-01-12,2022-01-09,1,0,-9,0,10,0,10"
"4798,9162,""A05-A14"",""M"",2022-01-13,2022-01-09,1,0,-9,0,7,0,7"
"4799,9162,""A35-A59"",""M"",2022-01-21,2022-01-09,1,0,-9,0,1,0,1"
"4800,9162,""A05-A14"",""M"",2022-01-17,2022-01-09,1,0,-9,0,1,0,1"
"4801,9162,""A60-A79"",""M"",2022-01-17,2022-01-09,1,0,-9,0,1,0,1"
"4802,9162,""A35-A59"",""M"",2022-01-16,2022-01-09,1,0,-9,0,3,0,3"
"4803,9162,""A60-A79"",""M"",2022-01-12,2022-01-09,1,0,-9,0,7,0,7"
"4804,9162,""A35-A59"",""M"",2022-01-12,2022-01-09,1,0,-9,0,41,0,41"
"4805,9162,""A15-A34"",""M"",2022-01-10,2022-01-09,1,0,-9,0,5,0,5"
"4806,9162,""A00-A04"",""M"",2022-01-13,2022-01-09,1,0,-9,0,1,0,1"
"4807,9162,""A00-A04"",""M"",2022-01-12,2022-01-09,1,0,-9,0,1,0,1"
"4808,9162,""A60-A79"",""M"",2022-01-14,2022-01-09,1,0,-9,0,11,0,11"
"4809,9162,""A35-A59"",""M"",2022-01-15,2022-01-09,1,0,-9,0,9,0,9"
"4810,9162,""A60-A79"",""M"",2022-01-10,2022-01-09,1,0,-9,0,1,0,1"
"4811,9162,""A05-A14"",""M"",2022-01-10,2022-01-10,0,0,-9,0,82,0,82"
"4812,9162,""unbekannt"",""M"",2022-01-10,2022-01-10,0,0,-9,0,1,0,1"
"4813,9162,""A15-A34"",""M"",2022-01-10,2022-01-10,0,0,-9,0,264,0,264"
"4814,9162,""A35-A59"",""M"",2022-01-10,2022-01-10,0,0,-9,0,166,0,166"
"4815,9162,""A00-A04"",""M"",2022-01-10,2022-01-10,0,0,-9,0,9,0,9"
"4816,9162,""A60-A79"",""M"",2022-01-10,2022-01-10,0,0,-9,0,22,0,22"
"4817,9162,""A80+"",""M"",2022-01-10,2022-01-10,0,0,-9,0,4,0,4"
"4818,9162,""A80+"",""M"",2022-01-10,2022-01-10,0,0,0,-9,1,1,0"
"4819,9162,""A35-A59"",""M"",2022-01-10,2022-01-10,0,0,0,-9,1,1,0"
"4820,9162,""A05-A14"",""M"",2022-01-16,2022-01-10,1,0,-9,0,1,0,1"
"4821,9162,""A35-A59"",""M"",2022-01-03,2022-01-10,1,0,-9,0,1,0,1"
"4822,9162,""A15-A34"",""M"",2022-01-09,2022-01-10,1,0,-9,0,2,0,2"
"4823,9162,""A80+"",""M"",2022-01-16,2022-01-10,1,0,-9,0,1,0,1"
"4824,9162,""A15-A34"",""M"",2022-01-10,2022-01-10,1,0,-9,0,2,0,2"
"4825,9162,""A15-A34"",""M"",2022-01-08,2022-01-10,1,0,-9,0,1,0,1"
"4826,9162,""A60-A79"",""M"",2022-01-16,2022-01-10,1,0,-9,0,1,0,1"
"4827,9162,""A05-A14"",""M"",2022-01-11,2022-01-10,1,0,-9,0,6,0,6"
"4828,9162,""A60-A79"",""M"",2022-01-12,2022-01-10,1,0,-9,0,2,0,2"
"4829,9162,""A35-A59"",""M"",2022-01-17,2022-01-10,1,0,-9,0,6,0,6"
"4830,9162,""A15-A34"",""M"",2022-01-19,2022-01-10,1,0,-9,0,1,0,1"
"4831,9162,""A15-A34"",""M"",2022-01-20,2022-01-10,1,0,-9,0,1,0,1"
"4832,9162,""A35-A59"",""M"",2022-01-20,2022-01-10,1,0,-9,0,2,0,2"
"4833,9162,""A00-A04"",""M"",2022-01-13,2022-01-10,1,0,-9,0,1,0,1"
"4834,9162,""A05-A14"",""M"",2022-01-10,2022-01-10,1,0,-9,0,2,0,2"
"4835,9162,""A05-A14"",""M"",2022-01-14,2022-01-10,1,0,-9,0,7,0,7"
"4836,9162,""A15-A34"",""M"",2022-01-14,2022-01-10,1,0,-9,0,46,0,46"
"4837,9162,""A35-A59"",""M"",2022-01-10,2022-01-10,1,0,-9,0,4,0,4"
"4838,9162,""A15-A34"",""M"",2022-01-12,2022-01-10,1,0,-9,0,51,0,51"
"4839,9162,""A60-A79"",""M"",2022-01-15,2022-01-10,1,0,-9,0,4,0,4"
"4840,9162,""A35-A59"",""M"",2022-01-22,2022-01-10,1,0,-9,0,2,0,2"
"4841,9162,""A15-A34"",""M"",2022-01-18,2022-01-10,1,0,-9,0,8,0,8"
"4842,9162,""A60-A79"",""M"",2022-01-24,2022-01-10,1,0,-9,0,1,0,1"
"4843,9162,""A35-A59"",""M"",2022-02-02,2022-01-10,1,0,-9,0,1,0,1"
"4844,9162,""A00-A04"",""M"",2022-01-15,2022-01-10,1,0,-9,0,1,0,1"
"4845,9162,""A35-A59"",""M"",2022-01-18,2022-01-10,1,0,-9,0,4,0,4"
"4846,9162,""A35-A59"",""M"",2022-01-15,2022-01-10,1,0,-9,0,16,0,16"
"4847,9162,""A05-A14"",""M"",2022-01-13,2022-01-10,1,0,-9,0,7,0,7"
"4848,9162,""A60-A79"",""M"",2022-01-17,2022-01-10,1,0,-9,0,3,0,3"
"4849,9162,""A15-A34"",""M"",2022-01-15,2022-01-10,1,0,-9,0,30,0,30"
"4850,9162,""A35-A59"",""M"",2022-01-14,2022-01-10,1,0,-9,0,37,0,37"
"4851,9162,""A05-A14"",""M"",2022-01-12,2022-01-10,1,0,-9,0,7,0,7"
"4852,9162,""A35-A59"",""M"",2022-01-21,2022-01-10,1,0,-9,0,2,0,2"
"4853,9162,""A05-A14"",""M"",2022-01-20,2022-01-10,1,0,-9,0,1,0,1"
"4854,9162,""A05-A14"",""M"",2022-01-15,2022-01-10,1,0,-9,0,2,0,2"
"4855,9162,""A35-A59"",""M"",2022-03-29,2022-01-10,1,0,-9,0,1,0,1"
"4856,9162,""A35-A59"",""M"",2022-01-16,2022-01-10,1,0,-9,0,15,0,15"
"4857,9162,""A05-A14"",""M"",2022-01-18,2022-01-10,1,0,-9,0,3,0,3"
"4858,9162,""A35-A59"",""M"",2022-01-23,2022-01-10,1,0,-9,0,1,0,1"
"4859,9162,""A05-A14"",""M"",2022-01-24,2022-01-10,1,0,-9,0,1,0,1"
"4860,9162,""A35-A59"",""M"",2022-01-25,2022-01-10,1,0,-9,0,1,0,1"
"4861,9162,""A35-A59"",""M"",2022-01-11,2022-01-10,1,0,-9,0,16,0,16"
"4862,9162,""A15-A34"",""M"",2022-01-16,2022-01-10,1,0,-9,0,16,0,16"
"4863,9162,""A60-A79"",""M"",2022-01-18,2022-01-10,1,0,-9,0,1,0,1"
"4864,9162,""A00-A04"",""M"",2022-01-11,2022-01-10,1,0,-9,0,2,0,2"
"4865,9162,""A15-A34"",""M"",2022-01-21,2022-01-10,1,0,-9,0,1,0,1"
"4866,9162,""A35-A59"",""M"",2022-01-12,2022-01-10,1,0,-9,0,30,0,30"
"4867,9162,""A00-A04"",""M"",2022-01-12,2022-01-10,1,0,-9,0,3,0,3"
"4868,9162,""A00-A04"",""M"",2022-01-14,2022-01-10,1,0,-9,0,2,0,2"
"4869,9162,""A15-A34"",""M"",2022-01-11,2022-01-10,1,0,-9,0,23,0,23"
"4870,9162,""A15-A34"",""M"",2022-01-17,2022-01-10,1,0,-9,0,5,0,5"
"4871,9162,""A15-A34"",""M"",2022-01-13,2022-01-10,1,0,-9,0,66,0,66"
"4872,9162,""A60-A79"",""M"",2022-01-13,2022-01-10,1,0,-9,0,3,0,3"
"4873,9162,""A35-A59"",""M"",2022-01-19,2022-01-10,1,0,-9,0,3,0,3"
"4874,9162,""A00-A04"",""M"",2022-01-16,2022-01-10,1,0,-9,0,1,0,1"
"4875,9162,""A35-A59"",""M"",2022-01-13,2022-01-10,1,0,-9,0,42,0,42"
"4876,9162,""A60-A79"",""M"",2022-01-14,2022-01-10,1,0,-9,0,3,0,3"
"4877,9162,""A60-A79"",""M"",2022-01-11,2022-01-10,1,0,-9,0,2,0,2"
"4878,9162,""A80+"",""M"",2022-01-12,2022-01-10,1,0,0,-9,1,1,0"
"4879,9162,""A00-A04"",""M"",2022-01-11,2022-01-11,0,0,-9,0,15,0,15"
"4880,9162,""A80+"",""M"",2022-01-11,2022-01-11,0,0,-9,0,2,0,2"
"4881,9162,""A05-A14"",""M"",2022-01-11,2022-01-11,0,0,-9,0,102,0,102"
"4882,9162,""A15-A34"",""M"",2022-01-11,2022-01-11,0,0,-9,0,262,0,262"
"4883,9162,""A60-A79"",""M"",2022-01-11,2022-01-11,0,0,-9,0,28,0,28"
"4884,9162,""A35-A59"",""M"",2022-01-11,2022-01-11,0,0,-9,0,199,0,199"
"4885,9162,""A15-A34"",""M"",2022-01-24,2022-01-11,1,0,-9,0,1,0,1"
"4886,9162,""A60-A79"",""M"",2022-01-15,2022-01-11,1,0,-9,0,1,0,1"
"4887,9162,""A15-A34"",""M"",2022-01-23,2022-01-11,1,0,-9,0,3,0,3"
"4888,9162,""A35-A59"",""M"",2022-01-31,2022-01-11,1,0,-9,0,1,0,1"
"4889,9162,""A35-A59"",""M"",2021-12-16,2022-01-11,1,0,-9,0,1,0,1"
"4890,9162,""A35-A59"",""M"",2022-01-17,2022-01-11,1,0,-9,0,19,0,19"
"4891,9162,""A00-A04"",""M"",2022-01-20,2022-01-11,1,0,-9,0,1,0,1"
"4892,9162,""A35-A59"",""M"",2022-01-20,2022-01-11,1,0,-9,0,7,0,7"
"4893,9162,""A35-A59"",""M"",2022-01-15,2022-01-11,1,0,-9,0,39,0,39"
"4894,9162,""A80+"",""M"",2022-01-13,2022-01-11,1,0,-9,0,1,0,1"
"4895,9162,""A00-A04"",""M"",2022-01-13,2022-01-11,1,0,-9,0,6,0,6"
"4896,9162,""A05-A14"",""M"",2022-01-11,2022-01-11,1,0,-9,0,1,0,1"
"4897,9162,""A15-A34"",""M"",2022-01-14,2022-01-11,1,0,-9,0,58,0,58"
"4898,9162,""A35-A59"",""M"",2022-01-30,2022-01-11,1,0,-9,0,1,0,1"
"4899,9162,""A05-A14"",""M"",2022-01-17,2022-01-11,1,0,-9,0,1,0,1"
"4900,9162,""A35-A59"",""M"",2022-01-19,2022-01-11,1,0,-9,0,2,0,2"
"4901,9162,""A60-A79"",""M"",2022-01-14,2022-01-11,1,0,-9,0,4,0,4"
"4902,9162,""A05-A14"",""M"",2022-02-19,2022-01-11,1,0,-9,0,1,0,1"
"4903,9162,""A00-A04"",""M"",2022-01-14,2022-01-11,1,0,-9,0,2,0,2"
"4904,9162,""A35-A59"",""M"",2022-01-22,2022-01-11,1,0,-9,0,1,0,1"
"4905,9162,""A15-A34"",""M"",2022-02-14,2022-01-11,1,0,-9,0,1,0,1"
"4906,9162,""A60-A79"",""M"",2022-01-12,2022-01-11,1,0,-9,0,1,0,1"
"4907,9162,""A15-A34"",""M"",2022-01-12,2022-01-11,1,0,-9,0,22,0,22"
"4908,9162,""A05-A14"",""M"",2022-01-15,2022-01-11,1,0,-9,0,5,0,5"
"4909,9162,""A05-A14"",""M"",2022-01-14,2022-01-11,1,0,-9,0,13,0,13"
"4910,9162,""A05-A14"",""M"",2022-01-18,2022-01-11,1,0,-9,0,2,0,2"
"4911,9162,""A60-A79"",""M"",2022-01-22,2022-01-11,1,0,-9,0,1,0,1"
"4912,9162,""A80+"",""M"",2022-01-12,2022-01-11,1,0,-9,0,1,0,1"
"4913,9162,""A15-A34"",""M"",2022-01-18,2022-01-11,1,0,-9,0,7,0,7"
"4914,9162,""A35-A59"",""M"",2022-01-14,2022-01-11,1,0,-9,0,29,0,29"
"4915,9162,""A80+"",""M"",2022-01-16,2022-01-11,1,0,-9,0,2,0,2"
"4916,9162,""A15-A34"",""M"",2022-01-15,2022-01-11,1,0,-9,0,48,0,48"
"4917,9162,""A15-A34"",""M"",2022-01-11,2022-01-11,1,0,-9,0,3,0,3"
"4918,9162,""A15-A34"",""M"",2022-01-19,2022-01-11,1,0,-9,0,5,0,5"
"4919,9162,""A35-A59"",""M"",2022-01-21,2022-01-11,1,0,-9,0,1,0,1"
"4920,9162,""A60-A79"",""M"",2022-01-17,2022-01-11,1,0,-9,0,3,0,3"
"4921,9162,""A05-A14"",""M"",2022-01-13,2022-01-11,1,0,-9,0,5,0,5"
"4922,9162,""A60-A79"",""M"",2022-01-21,2022-01-11,1,0,-9,0,3,0,3"
"4923,9162,""A00-A04"",""M"",2022-01-16,2022-01-11,1,0,-9,0,2,0,2"
"4924,9162,""A05-A14"",""M"",2022-01-12,2022-01-11,1,0,-9,0,4,0,4"
"4925,9162,""A35-A59"",""M"",2022-01-11,2022-01-11,1,0,-9,0,1,0,1"
"4926,9162,""A15-A34"",""M"",2022-01-21,2022-01-11,1,0,-9,0,1,0,1"
"4927,9162,""A35-A59"",""M"",2022-01-09,2022-01-11,1,0,-9,0,1,0,1"
"4928,9162,""A35-A59"",""M"",2022-01-12,2022-01-11,1,0,-9,0,13,0,13"
"4929,9162,""A15-A34"",""M"",2022-01-20,2022-01-11,1,0,-9,0,5,0,5"
